
Host: asax029.asc.edu

Timers On : Tue Dec  3 15:12:11 2024
Timers Off: Tue Dec  3 15:12:36 2024

Wall Time:       24.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form F                          :      0.000u      0.000s      0.000w     20 calls
HF: Form D                          :      0.000u      0.000s      0.000w     20 calls
HF: DIIS                            :      1.933u      0.117s      0.905w     18 calls
HF: Form C                          :      0.133u      0.000s      0.017w     18 calls
Libint2ERI::Libint2ERI              :      0.150u      0.017s      0.023w      2 calls
trans_ints                          :      1.483u      0.183s      0.551w      1 calls
| Trans (OV|OV)                     :      1.400u      0.167s      0.525w      1 calls
| Sort chem -> phys                 :      0.017u      0.017s      0.009w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.017u      0.017s      0.009w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.033u      0.000s      0.005w      1 calls
T2(1)                               :      0.533u      0.067s      0.108w      1 calls
MP2 Energy                          :      0.350u      0.033s      0.071w      1 calls

**************************************************************************************

Host: asax029.asc.edu

Timers On : Tue Dec  3 15:12:37 2024
Timers Off: Tue Dec  3 15:12:39 2024

Wall Time:        2.46 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.267u      0.050s      0.049w      2 calls
Libint2ERI::Libint2ERI              :      0.200u      0.033s      0.031w     12 calls
HF: Form core H                     :      0.117u      0.000s      0.023w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.250u      0.033s      0.043w      2 calls
SAD Guess                           :      0.233u      0.033s      0.041w      2 calls
HF: Form G                          :      0.000u      0.000s      0.002w     18 calls
JK: D                               :      0.000u      0.000s      0.000w     18 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     18 calls
JK: JK                              :      0.000u      0.000s      0.001w     18 calls
PK computes JK                      :      0.000u      0.000s      0.001w     18 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.000w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      1.783u      0.100s      0.382w     16 calls
HF: Form C                          :      0.033u      0.000s      0.005w     16 calls
trans_ints                          :      0.433u      0.000s      0.088w      1 calls
Trans (OV|OV)                       :      0.400u      0.000s      0.080w      1 calls
Sort chem -> phys                   :      0.000u      0.000s      0.000w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.000u      0.000s      0.000w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.083u      0.000s      0.014w      1 calls
MP2 Energy                          :      0.050u      0.017s      0.015w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.267u      0.050s      0.049w      2 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.033s      0.028w     10 calls
HF: Form core H                     :      0.117u      0.000s      0.023w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.250u      0.033s      0.043w      2 calls
| SAD Guess                         :      0.233u      0.033s      0.041w      2 calls
HF: Form G                          :      0.000u      0.000s      0.002w     18 calls
| JK: D                             :      0.000u      0.000s      0.000w     18 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     18 calls
| JK: JK                            :      0.000u      0.000s      0.001w     18 calls
| | PK computes JK                  :      0.000u      0.000s      0.001w     18 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.000w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      1.783u      0.100s      0.382w     16 calls
HF: Form C                          :      0.033u      0.000s      0.005w     16 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.003w      2 calls
trans_ints                          :      0.433u      0.000s      0.088w      1 calls
| Trans (OV|OV)                     :      0.400u      0.000s      0.080w      1 calls
| Sort chem -> phys                 :      0.000u      0.000s      0.000w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.000u      0.000s      0.000w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.083u      0.000s      0.014w      1 calls
MP2 Energy                          :      0.050u      0.017s      0.015w      1 calls

**************************************************************************************

Host: asax029.asc.edu

Timers On : Tue Dec  3 15:12:39 2024
Timers Off: Tue Dec  3 15:12:42 2024

Wall Time:        2.96 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.150u      0.033s      0.053w      2 calls
Libint2ERI::Libint2ERI              :      0.033u      0.033s      0.034w     12 calls
HF: Form core H                     :      0.100u      0.000s      0.020w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.367u      0.017s      0.058w      2 calls
SAD Guess                           :      0.350u      0.017s      0.056w      2 calls
HF: Form G                          :      0.000u      0.000s      0.003w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.000u      0.000s      0.002w     24 calls
PK computes JK                      :      0.000u      0.000s      0.002w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.917u      0.083s      0.405w     22 calls
HF: Form C                          :      0.067u      0.000s      0.007w     22 calls
trans_ints                          :      0.417u      0.017s      0.082w      1 calls
Trans (OV|OV)                       :      0.383u      0.017s      0.075w      1 calls
Sort chem -> phys                   :      0.000u      0.000s      0.000w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.000u      0.000s      0.000w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.067u      0.000s      0.014w      1 calls
MP2 Energy                          :      0.100u      0.017s      0.021w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.150u      0.033s      0.053w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.033s      0.031w     10 calls
HF: Form core H                     :      0.100u      0.000s      0.020w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.367u      0.017s      0.058w      2 calls
| SAD Guess                         :      0.350u      0.017s      0.056w      2 calls
HF: Form G                          :      0.000u      0.000s      0.003w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.000u      0.000s      0.002w     24 calls
| | PK computes JK                  :      0.000u      0.000s      0.002w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      1.917u      0.083s      0.405w     22 calls
HF: Form C                          :      0.067u      0.000s      0.007w     22 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.004w      2 calls
trans_ints                          :      0.417u      0.017s      0.082w      1 calls
| Trans (OV|OV)                     :      0.383u      0.017s      0.075w      1 calls
| Sort chem -> phys                 :      0.000u      0.000s      0.000w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.000u      0.000s      0.000w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.067u      0.000s      0.014w      1 calls
MP2 Energy                          :      0.100u      0.017s      0.021w      1 calls

**************************************************************************************

Host: asax029.asc.edu

Timers On : Tue Dec  3 15:12:43 2024
Timers Off: Tue Dec  3 15:12:54 2024

Wall Time:       11.16 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      3.300u      0.050s      0.584w      2 calls
Libint2ERI::Libint2ERI              :      0.217u      0.017s      0.106w     12 calls
HF: Form core H                     :      0.267u      0.017s      0.056w      2 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      2 calls
HF: Guess                           :      0.550u      0.033s      0.089w      2 calls
SAD Guess                           :      0.550u      0.033s      0.086w      2 calls
HF: Form G                          :      0.250u      0.000s      0.041w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.250u      0.000s      0.040w     24 calls
PK computes JK                      :      0.233u      0.000s      0.040w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      2.000u      0.067s      0.417w     22 calls
HF: Form C                          :      0.083u      0.000s      0.016w     22 calls
trans_ints                          :      1.250u      0.100s      0.320w      1 calls
Trans (OV|OV)                       :      1.217u      0.100s      0.306w      1 calls
Sort chem -> phys                   :      0.000u      0.000s      0.003w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.000u      0.000s      0.003w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.017u      0.000s      0.002w      1 calls
T2(1)                               :      0.167u      0.033s      0.032w      1 calls
MP2 Energy                          :      0.100u      0.000s      0.020w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      3.300u      0.050s      0.584w      2 calls
| Libint2ERI::Libint2ERI            :      0.117u      0.017s      0.090w     10 calls
HF: Form core H                     :      0.267u      0.017s      0.056w      2 calls
HF: Form S/X                        :      0.017u      0.000s      0.002w      2 calls
HF: Guess                           :      0.550u      0.033s      0.089w      2 calls
| SAD Guess                         :      0.550u      0.033s      0.086w      2 calls
HF: Form G                          :      0.250u      0.000s      0.041w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.250u      0.000s      0.040w     24 calls
| | PK computes JK                  :      0.233u      0.000s      0.040w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      2.000u      0.067s      0.417w     22 calls
HF: Form C                          :      0.083u      0.000s      0.016w     22 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.016w      2 calls
trans_ints                          :      1.250u      0.100s      0.320w      1 calls
| Trans (OV|OV)                     :      1.217u      0.100s      0.306w      1 calls
| Sort chem -> phys                 :      0.000u      0.000s      0.003w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.000u      0.000s      0.003w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.017u      0.000s      0.002w      1 calls
T2(1)                               :      0.167u      0.033s      0.032w      1 calls
MP2 Energy                          :      0.100u      0.000s      0.020w      1 calls

**************************************************************************************

Host: asax029.asc.edu

Timers On : Tue Dec  3 15:12:54 2024
Timers Off: Tue Dec  3 15:12:57 2024

Wall Time:        2.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.183u      0.050s      0.033w      2 calls
Libint2ERI::Libint2ERI              :      0.133u      0.033s      0.026w     12 calls
HF: Form core H                     :      0.233u      0.000s      0.048w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.367u      0.050s      0.062w      2 calls
SAD Guess                           :      0.350u      0.050s      0.060w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     22 calls
JK: D                               :      0.000u      0.000s      0.000w     22 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     22 calls
JK: JK                              :      0.000u      0.000s      0.000w     22 calls
PK computes JK                      :      0.000u      0.000s      0.000w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     22 calls
HF: Form F                          :      0.000u      0.000s      0.000w     22 calls
HF: Form D                          :      0.000u      0.000s      0.000w     22 calls
HF: DIIS                            :      1.883u      0.100s      0.391w     20 calls
HF: Form C                          :      0.033u      0.000s      0.006w     20 calls
trans_ints                          :      0.483u      0.017s      0.098w      1 calls
Trans (OV|OV)                       :      0.450u      0.017s      0.090w      1 calls
Sort chem -> phys                   :      0.000u      0.000s      0.000w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.000u      0.000s      0.000w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.067u      0.017s      0.015w      1 calls
MP2 Energy                          :      0.133u      0.000s      0.028w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.183u      0.050s      0.033w      2 calls
| Libint2ERI::Libint2ERI            :      0.133u      0.017s      0.023w     10 calls
HF: Form core H                     :      0.233u      0.000s      0.048w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.367u      0.050s      0.062w      2 calls
| SAD Guess                         :      0.350u      0.050s      0.060w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     22 calls
| JK: D                             :      0.000u      0.000s      0.000w     22 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     22 calls
| JK: JK                            :      0.000u      0.000s      0.000w     22 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     22 calls
HF: Form F                          :      0.000u      0.000s      0.000w     22 calls
HF: Form D                          :      0.000u      0.000s      0.000w     22 calls
HF: DIIS                            :      1.883u      0.100s      0.391w     20 calls
HF: Form C                          :      0.033u      0.000s      0.006w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.017s      0.003w      2 calls
trans_ints                          :      0.483u      0.017s      0.098w      1 calls
| Trans (OV|OV)                     :      0.450u      0.017s      0.090w      1 calls
| Sort chem -> phys                 :      0.000u      0.000s      0.000w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.000u      0.000s      0.000w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.067u      0.017s      0.015w      1 calls
MP2 Energy                          :      0.133u      0.000s      0.028w      1 calls

**************************************************************************************

Host: asax029.asc.edu

Timers On : Tue Dec  3 15:12:57 2024
Timers Off: Tue Dec  3 15:14:38 2024

Wall Time:      101.11 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     34.200u      0.283s      6.939w      2 calls
Libint2ERI::Libint2ERI              :      1.333u      0.067s      0.568w     12 calls
HF: Form core H                     :      0.300u      0.000s      0.054w      2 calls
HF: Form S/X                        :      0.033u      0.000s      0.007w      2 calls
HF: Guess                           :      0.417u      0.050s      0.068w      2 calls
SAD Guess                           :      0.400u      0.050s      0.066w      2 calls
HF: Form G                          :      5.917u      0.100s      0.905w     20 calls
JK: D                               :      0.000u      0.000s      0.001w     20 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     20 calls
JK: JK                              :      5.900u      0.100s      0.901w     20 calls
PK computes JK                      :      5.900u      0.100s      0.901w     20 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     20 calls
HF: Form F                          :      0.000u      0.000s      0.001w     20 calls
HF: Form D                          :      0.017u      0.000s      0.001w     20 calls
HF: DIIS                            :      2.167u      0.067s      0.433w     18 calls
HF: Form C                          :      0.300u      0.000s      0.045w     18 calls
trans_ints                          :      6.317u      1.617s      4.192w      1 calls
Trans (OV|OV)                       :      6.133u      1.550s      4.115w      1 calls
Sort chem -> phys                   :      0.017u      0.033s      0.043w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.017u      0.033s      0.043w      1 calls
Trans OEI                           :      0.000u      0.000s      0.001w      1 calls
Build Denominators                  :      0.150u      0.033s      0.025w      1 calls
T2(1)                               :      0.933u      0.400s      0.327w      1 calls
MP2 Energy                          :      0.050u      0.067s      0.082w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     34.200u      0.283s      6.939w      2 calls
| Libint2ERI::Libint2ERI            :      0.733u      0.050s      0.476w     10 calls
HF: Form core H                     :      0.300u      0.000s      0.054w      2 calls
HF: Form S/X                        :      0.033u      0.000s      0.007w      2 calls
HF: Guess                           :      0.417u      0.050s      0.068w      2 calls
| SAD Guess                         :      0.400u      0.050s      0.066w      2 calls
HF: Form G                          :      5.917u      0.100s      0.905w     20 calls
| JK: D                             :      0.000u      0.000s      0.001w     20 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     20 calls
| JK: JK                            :      5.900u      0.100s      0.901w     20 calls
| | PK computes JK                  :      5.900u      0.100s      0.901w     20 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     20 calls
HF: Form F                          :      0.000u      0.000s      0.001w     20 calls
HF: Form D                          :      0.017u      0.000s      0.001w     20 calls
HF: DIIS                            :      2.167u      0.067s      0.433w     18 calls
HF: Form C                          :      0.300u      0.000s      0.045w     18 calls
Libint2ERI::Libint2ERI              :      0.600u      0.017s      0.091w      2 calls
trans_ints                          :      6.317u      1.617s      4.192w      1 calls
| Trans (OV|OV)                     :      6.133u      1.550s      4.115w      1 calls
| Sort chem -> phys                 :      0.017u      0.033s      0.043w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.017u      0.033s      0.043w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.001w      1 calls
| Build Denominators                :      0.150u      0.033s      0.025w      1 calls
T2(1)                               :      0.933u      0.400s      0.327w      1 calls
MP2 Energy                          :      0.050u      0.067s      0.082w      1 calls

**************************************************************************************

Host: asax029.asc.edu

Timers On : Tue Dec  3 15:14:39 2024
Timers Off: Tue Dec  3 15:14:42 2024

Wall Time:        3.19 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.817u      0.067s      0.168w      2 calls
Libint2ERI::Libint2ERI              :      0.300u      0.067s      0.094w     12 calls
HF: Form core H                     :      0.300u      0.000s      0.061w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.317u      0.033s      0.052w      2 calls
SAD Guess                           :      0.300u      0.033s      0.049w      2 calls
HF: Form G                          :      0.033u      0.000s      0.004w     18 calls
JK: D                               :      0.000u      0.000s      0.000w     18 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     18 calls
JK: JK                              :      0.033u      0.000s      0.003w     18 calls
PK computes JK                      :      0.033u      0.000s      0.003w     18 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.000w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      1.933u      0.083s      0.411w     16 calls
HF: Form C                          :      0.000u      0.000s      0.006w     16 calls
trans_ints                          :      0.583u      0.033s      0.120w      1 calls
Trans (OV|OV)                       :      0.450u      0.017s      0.091w      1 calls
Sort chem -> phys                   :      0.000u      0.000s      0.000w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.000u      0.000s      0.000w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.067u      0.000s      0.013w      1 calls
MP2 Energy                          :      0.067u      0.000s      0.014w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.817u      0.067s      0.168w      2 calls
| Libint2ERI::Libint2ERI            :      0.217u      0.067s      0.081w     10 calls
HF: Form core H                     :      0.300u      0.000s      0.061w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.317u      0.033s      0.052w      2 calls
| SAD Guess                         :      0.300u      0.033s      0.049w      2 calls
HF: Form G                          :      0.033u      0.000s      0.004w     18 calls
| JK: D                             :      0.000u      0.000s      0.000w     18 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     18 calls
| JK: JK                            :      0.033u      0.000s      0.003w     18 calls
| | PK computes JK                  :      0.033u      0.000s      0.003w     18 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.000w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      1.933u      0.083s      0.411w     16 calls
HF: Form C                          :      0.000u      0.000s      0.006w     16 calls
Libint2ERI::Libint2ERI              :      0.083u      0.000s      0.014w      2 calls
trans_ints                          :      0.583u      0.033s      0.120w      1 calls
| Trans (OV|OV)                     :      0.450u      0.017s      0.091w      1 calls
| Sort chem -> phys                 :      0.000u      0.000s      0.000w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.000u      0.000s      0.000w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.067u      0.000s      0.013w      1 calls
MP2 Energy                          :      0.067u      0.000s      0.014w      1 calls

**************************************************************************************

Host: asax029.asc.edu

Timers On : Tue Dec  3 15:14:43 2024
Timers Off: Tue Dec  3 15:14:47 2024

Wall Time:        4.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.817u      0.033s      0.207w      2 calls
Libint2ERI::Libint2ERI              :      0.183u      0.033s      0.104w     12 calls
HF: Form core H                     :      0.100u      0.017s      0.020w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.450u      0.017s      0.071w      2 calls
SAD Guess                           :      0.433u      0.017s      0.069w      2 calls
HF: Form G                          :      0.050u      0.000s      0.010w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.050u      0.000s      0.009w     24 calls
PK computes JK                      :      0.050u      0.000s      0.009w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      2.000u      0.100s      0.414w     22 calls
HF: Form C                          :      0.050u      0.000s      0.010w     22 calls
trans_ints                          :      0.600u      0.050s      0.115w      1 calls
Trans (OV|OV)                       :      0.550u      0.033s      0.107w      1 calls
Sort chem -> phys                   :      0.017u      0.000s      0.000w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.017u      0.000s      0.000w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.067u      0.000s      0.016w      1 calls
MP2 Energy                          :      0.067u      0.017s      0.014w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.817u      0.033s      0.207w      2 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.033s      0.090w     10 calls
HF: Form core H                     :      0.100u      0.017s      0.020w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.450u      0.017s      0.071w      2 calls
| SAD Guess                         :      0.433u      0.017s      0.069w      2 calls
HF: Form G                          :      0.050u      0.000s      0.010w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.050u      0.000s      0.009w     24 calls
| | PK computes JK                  :      0.050u      0.000s      0.009w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      2.000u      0.100s      0.414w     22 calls
HF: Form C                          :      0.050u      0.000s      0.010w     22 calls
Libint2ERI::Libint2ERI              :      0.100u      0.000s      0.014w      2 calls
trans_ints                          :      0.600u      0.050s      0.115w      1 calls
| Trans (OV|OV)                     :      0.550u      0.033s      0.107w      1 calls
| Sort chem -> phys                 :      0.017u      0.000s      0.000w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.017u      0.000s      0.000w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.067u      0.000s      0.016w      1 calls
MP2 Energy                          :      0.067u      0.017s      0.014w      1 calls

**************************************************************************************

Host: asax029.asc.edu

Timers On : Tue Dec  3 15:14:47 2024
Timers Off: Tue Dec  3 15:15:37 2024

Wall Time:       50.07 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     18.733u      0.183s      4.032w      2 calls
Libint2ERI::Libint2ERI              :      1.000u      0.033s      0.418w     12 calls
HF: Form core H                     :      0.167u      0.000s      0.030w      2 calls
HF: Form S/X                        :      0.033u      0.000s      0.005w      2 calls
HF: Guess                           :      0.700u      0.033s      0.112w      2 calls
SAD Guess                           :      0.683u      0.033s      0.110w      2 calls
HF: Form G                          :      3.667u      0.083s      0.561w     26 calls
JK: D                               :      0.033u      0.000s      0.001w     26 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     26 calls
