
Host: asax028.asc.edu

Timers On : Tue Dec  3 15:08:32 2024
Timers Off: Tue Dec  3 15:09:06 2024

Wall Time:       34.23 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form F                          :      0.000u      0.000s      0.000w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.450u      0.033s      0.355w     16 calls
HF: Form C                          :      0.000u      0.000s      0.005w     16 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.005w      3 calls
trans_ints                          :      0.000u      0.000s      0.095w      1 calls
| Trans (OV|OV)                     :      0.000u      0.000s      0.087w      1 calls
| Sort chem -> phys                 :      0.000u      0.000s      0.000w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.000u      0.000s      0.000w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.000u      0.000s      0.015w      1 calls
MP2 Energy                          :      0.000u      0.000s      0.015w      1 calls

**************************************************************************************

Host: asax028.asc.edu

Timers On : Tue Dec  3 15:09:09 2024
Timers Off: Tue Dec  3 15:09:11 2024

Wall Time:        2.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.083u      0.017s      0.052w      2 calls
Libint2ERI::Libint2ERI              :      0.017u      0.017s      0.016w      7 calls
HF: Form core H                     :      0.000u      0.000s      0.021w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.083u      0.000s      0.047w      2 calls
SAD Guess                           :      0.083u      0.000s      0.045w      2 calls
HF: Form G                          :      0.000u      0.000s      0.002w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.000u      0.000s      0.001w     24 calls
PK computes JK                      :      0.000u      0.000s      0.001w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.517u      0.083s      0.344w     22 calls
HF: Form C                          :      0.033u      0.000s      0.007w     22 calls
trans_ints                          :      0.017u      0.000s      0.084w      1 calls
Trans (OV|OV)                       :      0.000u      0.000s      0.077w      1 calls
Sort chem -> phys                   :      0.000u      0.000s      0.000w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.000u      0.000s      0.000w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.000u      0.000s      0.017w      1 calls
MP2 Energy                          :      0.000u      0.000s      0.017w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.083u      0.017s      0.052w      2 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.009w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.021w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.083u      0.000s      0.047w      2 calls
| SAD Guess                         :      0.083u      0.000s      0.045w      2 calls
HF: Form G                          :      0.000u      0.000s      0.002w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.000u      0.000s      0.001w     24 calls
| | PK computes JK                  :      0.000u      0.000s      0.001w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.517u      0.083s      0.344w     22 calls
HF: Form C                          :      0.033u      0.000s      0.007w     22 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.007w      3 calls
trans_ints                          :      0.017u      0.000s      0.084w      1 calls
| Trans (OV|OV)                     :      0.000u      0.000s      0.077w      1 calls
| Sort chem -> phys                 :      0.000u      0.000s      0.000w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.000u      0.000s      0.000w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.000u      0.000s      0.017w      1 calls
MP2 Energy                          :      0.000u      0.000s      0.017w      1 calls

**************************************************************************************

Host: asax028.asc.edu

Timers On : Tue Dec  3 15:09:11 2024
Timers Off: Tue Dec  3 15:09:27 2024

Wall Time:       15.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      2.233u      0.017s      1.358w      2 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.054w      7 calls
HF: Form core H                     :      0.017u      0.000s      0.026w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      2 calls
HF: Guess                           :      0.117u      0.000s      0.069w      2 calls
SAD Guess                           :      0.100u      0.000s      0.067w      2 calls
HF: Form G                          :      0.083u      0.000s      0.024w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.083u      0.000s      0.023w     24 calls
PK computes JK                      :      0.083u      0.000s      0.023w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.483u      0.050s      0.340w     22 calls
HF: Form C                          :      0.000u      0.000s      0.015w     22 calls
trans_ints                          :      0.267u      0.050s      0.287w      1 calls
Trans (OV|OV)                       :      0.267u      0.050s      0.274w      1 calls
Sort chem -> phys                   :      0.000u      0.000s      0.002w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.000u      0.000s      0.002w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.000u      0.000s      0.002w      1 calls
T2(1)                               :      0.000u      0.017s      0.027w      1 calls
MP2 Energy                          :      0.000u      0.000s      0.017w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      2.233u      0.017s      1.358w      2 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.017s      0.030w      4 calls
HF: Form core H                     :      0.017u      0.000s      0.026w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      2 calls
HF: Guess                           :      0.117u      0.000s      0.069w      2 calls
| SAD Guess                         :      0.100u      0.000s      0.067w      2 calls
HF: Form G                          :      0.083u      0.000s      0.024w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.083u      0.000s      0.023w     24 calls
| | PK computes JK                  :      0.083u      0.000s      0.023w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.483u      0.050s      0.340w     22 calls
HF: Form C                          :      0.000u      0.000s      0.015w     22 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.024w      3 calls
trans_ints                          :      0.267u      0.050s      0.287w      1 calls
| Trans (OV|OV)                     :      0.267u      0.050s      0.274w      1 calls
| Sort chem -> phys                 :      0.000u      0.000s      0.002w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.000u      0.000s      0.002w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.000u      0.000s      0.002w      1 calls
T2(1)                               :      0.000u      0.017s      0.027w      1 calls
MP2 Energy                          :      0.000u      0.000s      0.017w      1 calls

**************************************************************************************

Host: asax028.asc.edu

Timers On : Tue Dec  3 15:09:27 2024
Timers Off: Tue Dec  3 15:09:28 2024

Wall Time:        1.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.017u      0.000s      0.017w      2 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.008w      7 calls
HF: Form core H                     :      0.000u      0.000s      0.021w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.083u      0.000s      0.047w      2 calls
SAD Guess                           :      0.083u      0.000s      0.045w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     22 calls
JK: D                               :      0.000u      0.000s      0.000w     22 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     22 calls
JK: JK                              :      0.000u      0.000s      0.000w     22 calls
PK computes JK                      :      0.000u      0.000s      0.000w     22 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     22 calls
HF: Form F                          :      0.000u      0.000s      0.000w     22 calls
HF: Form D                          :      0.000u      0.000s      0.000w     22 calls
HF: DIIS                            :      0.483u      0.050s      0.344w     20 calls
HF: Form C                          :      0.017u      0.000s      0.006w     20 calls
trans_ints                          :      0.000u      0.017s      0.102w      1 calls
Trans (OV|OV)                       :      0.000u      0.017s      0.095w      1 calls
Sort chem -> phys                   :      0.000u      0.000s      0.000w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.000u      0.000s      0.000w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.000u      0.000s      0.015w      1 calls
MP2 Energy                          :      0.000u      0.000s      0.016w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.017u      0.000s      0.017w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.021w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      2 calls
HF: Guess                           :      0.083u      0.000s      0.047w      2 calls
| SAD Guess                         :      0.083u      0.000s      0.045w      2 calls
HF: Form G                          :      0.000u      0.000s      0.001w     22 calls
| JK: D                             :      0.000u      0.000s      0.000w     22 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     22 calls
| JK: JK                            :      0.000u      0.000s      0.000w     22 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     22 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     22 calls
HF: Form F                          :      0.000u      0.000s      0.000w     22 calls
HF: Form D                          :      0.000u      0.000s      0.000w     22 calls
HF: DIIS                            :      0.483u      0.050s      0.344w     20 calls
HF: Form C                          :      0.017u      0.000s      0.006w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w      3 calls
trans_ints                          :      0.000u      0.017s      0.102w      1 calls
| Trans (OV|OV)                     :      0.000u      0.017s      0.095w      1 calls
| Sort chem -> phys                 :      0.000u      0.000s      0.000w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.000u      0.000s      0.000w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.000u      0.000s      0.015w      1 calls
MP2 Energy                          :      0.000u      0.000s      0.016w      1 calls

**************************************************************************************

Host: asax028.asc.edu

Timers On : Tue Dec  3 15:09:29 2024
Timers Off: Tue Dec  3 15:12:02 2024

Wall Time:      153.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     27.033u      0.133s     16.552w      2 calls
Libint2ERI::Libint2ERI              :      0.533u      0.000s      0.508w      7 calls
HF: Form core H                     :      0.050u      0.000s      0.067w      2 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      2 calls
HF: Guess                           :      0.083u      0.000s      0.056w      2 calls
SAD Guess                           :      0.083u      0.000s      0.054w      2 calls
HF: Form G                          :      0.833u      0.000s      0.503w     20 calls
JK: D                               :      0.000u      0.000s      0.001w     20 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     20 calls
JK: JK                              :      0.833u      0.000s      0.501w     20 calls
PK computes JK                      :      0.833u      0.000s      0.501w     20 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     20 calls
HF: Form F                          :      0.000u      0.000s      0.001w     20 calls
HF: Form D                          :      0.000u      0.000s      0.001w     20 calls
HF: DIIS                            :      0.550u      0.050s      0.347w     18 calls
HF: Form C                          :      0.067u      0.000s      0.045w     18 calls
trans_ints                          :      3.967u      0.700s      2.915w      1 calls
Trans (OV|OV)                       :      3.933u      0.667s      2.868w      1 calls
Sort chem -> phys                   :      0.017u      0.017s      0.021w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.017u      0.017s      0.021w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.017u      0.017s      0.018w      1 calls
T2(1)                               :      0.067u      0.317s      0.243w      1 calls
MP2 Energy                          :      0.017u      0.050s      0.070w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :     27.033u      0.133s     16.552w      2 calls
| Libint2ERI::Libint2ERI            :      0.317u      0.000s      0.373w      4 calls
HF: Form core H                     :      0.050u      0.000s      0.067w      2 calls
HF: Form S/X                        :      0.017u      0.000s      0.008w      2 calls
HF: Guess                           :      0.083u      0.000s      0.056w      2 calls
| SAD Guess                         :      0.083u      0.000s      0.054w      2 calls
HF: Form G                          :      0.833u      0.000s      0.503w     20 calls
| JK: D                             :      0.000u      0.000s      0.001w     20 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     20 calls
| JK: JK                            :      0.833u      0.000s      0.501w     20 calls
| | PK computes JK                  :      0.833u      0.000s      0.501w     20 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     20 calls
HF: Form F                          :      0.000u      0.000s      0.001w     20 calls
HF: Form D                          :      0.000u      0.000s      0.001w     20 calls
HF: DIIS                            :      0.550u      0.050s      0.347w     18 calls
HF: Form C                          :      0.067u      0.000s      0.045w     18 calls
Libint2ERI::Libint2ERI              :      0.217u      0.000s      0.136w      3 calls
trans_ints                          :      3.967u      0.700s      2.915w      1 calls
| Trans (OV|OV)                     :      3.933u      0.667s      2.868w      1 calls
| Sort chem -> phys                 :      0.017u      0.017s      0.021w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.017u      0.017s      0.021w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.017u      0.017s      0.018w      1 calls
T2(1)                               :      0.067u      0.317s      0.243w      1 calls
MP2 Energy                          :      0.017u      0.050s      0.070w      1 calls

**************************************************************************************

Host: asax028.asc.edu

Timers On : Tue Dec  3 15:12:02 2024
Timers Off: Tue Dec  3 15:12:05 2024

Wall Time:        2.53 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.200u      0.000s      0.132w      2 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.043w      7 calls
HF: Form core H                     :      0.000u      0.000s      0.020w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.067u      0.000s      0.040w      2 calls
SAD Guess                           :      0.050u      0.000s      0.038w      2 calls
HF: Form G                          :      0.017u      0.000s      0.003w     18 calls
JK: D                               :      0.000u      0.000s      0.000w     18 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     18 calls
JK: JK                              :      0.017u      0.000s      0.002w     18 calls
PK computes JK                      :      0.017u      0.000s      0.002w     18 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.000w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.500u      0.050s      0.327w     16 calls
HF: Form C                          :      0.000u      0.000s      0.005w     16 calls
trans_ints                          :      0.017u      0.017s      0.110w      1 calls
Trans (OV|OV)                       :      0.017u      0.017s      0.102w      1 calls
Sort chem -> phys                   :      0.000u      0.000s      0.000w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.000u      0.000s      0.000w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.000u      0.000s      0.018w      1 calls
MP2 Energy                          :      0.000u      0.000s      0.016w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.200u      0.000s      0.132w      2 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.025w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.020w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.067u      0.000s      0.040w      2 calls
| SAD Guess                         :      0.050u      0.000s      0.038w      2 calls
HF: Form G                          :      0.017u      0.000s      0.003w     18 calls
| JK: D                             :      0.000u      0.000s      0.000w     18 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     18 calls
| JK: JK                            :      0.017u      0.000s      0.002w     18 calls
| | PK computes JK                  :      0.017u      0.000s      0.002w     18 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.000w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.500u      0.050s      0.327w     16 calls
HF: Form C                          :      0.000u      0.000s      0.005w     16 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.018w      3 calls
trans_ints                          :      0.017u      0.017s      0.110w      1 calls
| Trans (OV|OV)                     :      0.017u      0.017s      0.102w      1 calls
| Sort chem -> phys                 :      0.000u      0.000s      0.000w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.000u      0.000s      0.000w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.000u      0.000s      0.018w      1 calls
MP2 Energy                          :      0.000u      0.000s      0.016w      1 calls

**************************************************************************************

Host: asax028.asc.edu

Timers On : Tue Dec  3 15:12:05 2024
Timers Off: Tue Dec  3 15:12:09 2024

Wall Time:        4.00 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.400u      0.000s      0.255w      2 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.053w      7 calls
HF: Form core H                     :      0.000u      0.000s      0.033w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.083u      0.017s      0.057w      2 calls
SAD Guess                           :      0.083u      0.017s      0.055w      2 calls
HF: Form G                          :      0.017u      0.000s      0.008w     24 calls
JK: D                               :      0.000u      0.000s      0.000w     24 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     24 calls
JK: JK                              :      0.017u      0.000s      0.007w     24 calls
PK computes JK                      :      0.017u      0.000s      0.007w     24 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.483u      0.033s      0.362w     22 calls
HF: Form C                          :      0.033u      0.000s      0.010w     22 calls
trans_ints                          :      0.033u      0.017s      0.107w      1 calls
Trans (OV|OV)                       :      0.033u      0.017s      0.099w      1 calls
Sort chem -> phys                   :      0.000u      0.000s      0.000w      1 calls
Sort (OV|OV) -> <OO|VV>             :      0.000u      0.000s      0.000w      1 calls
Trans OEI                           :      0.000u      0.000s      0.000w      1 calls
Build Denominators                  :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.000u      0.000s      0.015w      1 calls
MP2 Energy                          :      0.000u      0.000s      0.021w      1 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.400u      0.000s      0.255w      2 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.031w      4 calls
HF: Form core H                     :      0.000u      0.000s      0.033w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      2 calls
HF: Guess                           :      0.083u      0.017s      0.057w      2 calls
| SAD Guess                         :      0.083u      0.017s      0.055w      2 calls
HF: Form G                          :      0.017u      0.000s      0.008w     24 calls
| JK: D                             :      0.000u      0.000s      0.000w     24 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     24 calls
| JK: JK                            :      0.017u      0.000s      0.007w     24 calls
| | PK computes JK                  :      0.017u      0.000s      0.007w     24 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     24 calls
HF: Form F                          :      0.000u      0.000s      0.000w     24 calls
HF: Form D                          :      0.000u      0.000s      0.000w     24 calls
HF: DIIS                            :      0.483u      0.033s      0.362w     22 calls
HF: Form C                          :      0.033u      0.000s      0.010w     22 calls
Libint2ERI::Libint2ERI              :      0.033u      0.017s      0.022w      3 calls
trans_ints                          :      0.033u      0.017s      0.107w      1 calls
| Trans (OV|OV)                     :      0.033u      0.017s      0.099w      1 calls
| Sort chem -> phys                 :      0.000u      0.000s      0.000w      1 calls
| | Sort (OV|OV) -> <OO|VV>         :      0.000u      0.000s      0.000w      1 calls
| Trans OEI                         :      0.000u      0.000s      0.000w      1 calls
| Build Denominators                :      0.000u      0.000s      0.000w      1 calls
T2(1)                               :      0.000u      0.000s      0.015w      1 calls
MP2 Energy                          :      0.000u      0.000s      0.021w      1 calls

**************************************************************************************

Host: asax028.asc.edu

Timers On : Tue Dec  3 15:12:09 2024
Timers Off: Tue Dec  3 15:13:26 2024

Wall Time:       76.26 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :     13.750u      0.033s      8.310w      2 calls
Libint2ERI::Libint2ERI              :      0.383u      0.017s      0.225w      7 calls
HF: Form core H                     :      0.033u      0.000s      0.037w      2 calls
HF: Form S/X                        :      0.000u      0.000s      0.005w      2 calls
HF: Guess                           :      0.133u      0.017s      0.086w      2 calls
SAD Guess                           :      0.133u      0.017s      0.084w      2 calls
HF: Form G                          :      0.567u      0.000s      0.380w     26 calls
JK: D                               :      0.000u      0.000s      0.001w     26 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     26 calls
